target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,stat_density_2d,743,function,R/stat-density-2d.r,16,41
ggplot2,Coord,744,Coord / ggproto / gg,NA,NA,NA
ggplot2,grid_as_facets_list,745,function,R/facet-grid-.r,161,188
ggplot2,theme_gray,746,function,R/theme-defaults.r,98,235
ggplot2,geom_qq_line,747,function,R/stat-qq-line.R,7,36
ggplot2,guide_gengrob,748,function,R/guides-.r,327,327
ggplot2,scale_fill_manual,749,function,R/scale-manual.r,69,71
ggplot2,annotation_map,750,function,R/annotation-map.r,32,48
ggplot2,scale_shape_identity,751,function,R/scale-identity.r,82,87
ggplot2,coord_equal,752,function,R/coord-fixed.r,25,32
ggplot2,deparse2,753,function,R/utilities.r,368,375
ggplot2,match_calculated_aes,754,character,NA,NA,NA
ggplot2,FacetWrap,755,FacetWrap / Facet / ggproto / gg,NA,NA,NA
ggplot2,is_finite,756,function,R/utilities.r,128,134
ggplot2,rename_data,757,function,R/coord-polar.r,330,336
ggplot2,toupper,758,function,R/utilities.r,319,321
ggplot2,fortify.map,759,function,R/fortify-map.r,26,38
ggplot2,scale_linetype_manual,760,function,R/scale-manual.r,87,89
ggplot2,GeomStep,761,GeomStep / GeomPath / Geom / ggproto / gg,NA,NA,NA
ggplot2,upper_ascii,762,character,NA,NA,NA
ggplot2,strip_dots,763,function,R/aes-calculated.r,59,85
ggplot2,ggproto_formals,764,function,R/ggproto.r,351,351
ggplot2,format.ggproto,765,function,R/ggproto.r,249,280
ggplot2,is.rel,766,function,R/theme-elements.r,141,141
ggplot2,predictdf.default,767,function,R/stat-smooth-methods.r,12,23
ggplot2,ScaleContinuousIdentity,768,ScaleContinuousIdentity / ScaleContinuous / Scale / ggproto / gg,NA,NA,NA
ggplot2,scale_fill_identity,769,function,R/scale-identity.r,73,78
ggplot2,coord_trans,770,function,R/coord-transform.r,81,108
ggplot2,autolayer.default,771,function,R/autolayer.r,17,20
ggplot2,GeomPoint,772,GeomPoint / Geom / ggproto / gg,NA,NA,NA
ggplot2,fortify.Polygons,773,function,R/fortify-spatial.r,51,64
ggplot2,as.list.ggproto,774,function,R/ggproto.r,199,212
ggplot2,aes_all,775,function,R/aes.r,285,295
ggplot2,draw_key_text,776,function,R/legend-draw.r,197,209
ggplot2,interleave.unit,777,function,R/utilities-matrix.r,17,19
ggplot2,draw_key_blank,778,function,R/legend-draw.r,92,94
ggplot2,ggplot_global,779,environment,NA,NA,NA
ggplot2,check_layout,780,function,R/facet-.r,444,454
ggplot2,find_line_formula,781,function,R/coord-munch.r,173,180
ggplot2,new_data_frame,782,function,R/performance.R,3,19
ggplot2,fortify.SpatialPolygons,783,function,R/fortify-spatial.r,44,46
ggplot2,as_facets_list,784,function,R/facet-.r,277,315
ggplot2,$<-.uneval,785,function,R/aes.r,133,138
ggplot2,stat_ellipse,786,function,R/stat-ellipse.R,43,68
ggplot2,StatQq,787,StatQq / Stat / ggproto / gg,NA,NA,NA
ggplot2,geom_quantile,788,function,R/geom-quantile.r,30,56
ggplot2,sf_rescale01_x,789,function,R/coord-sf.R,381,383
ggplot2,geom_qq,790,function,R/stat-qq.r,48,71
ggplot2,geom_density,791,function,R/geom-density.r,48,68
ggplot2,widthDetails.zeroGrob,792,function,R/grob-null.r,12,12
ggplot2,scale_color_continuous,793,function,R/scale-colour.r,26,34
ggplot2,compute_just,794,function,R/geom-text.r,208,216
ggplot2,.onAttach,795,function,R/zzz.r,1,17
ggplot2,Geom,796,Geom / ggproto / gg,NA,NA,NA
ggplot2,pos_dodge2,797,function,R/position-dodge2.r,69,129
ggplot2,build_guides,798,function,R/guides-.r,98,136
ggplot2,limits,799,function,R/limits.r,82,82
ggplot2,rotate_just,800,function,R/margins.R,300,332
ggplot2,ggplot,801,function,R/plot.r,74,77
ggplot2,PositionIdentity,802,PositionIdentity / Position / ggproto / gg,NA,NA,NA
ggplot2,geom_histogram,803,function,R/geom-histogram.r,87,112
ggplot2,scale_y_date,804,function,R/scale-date.r,94,124
ggplot2,spiral_arc_length,805,function,R/coord-munch.r,194,200
ggplot2,merge_element.default,806,function,R/theme.r,594,596
ggplot2,empty,807,function,R/utilities.r,345,347
ggplot2,ggplot_add.data.frame,808,function,R/plot-construction.r,98,101
ggplot2,StatUnique,809,StatUnique / Stat / ggproto / gg,NA,NA,NA
ggplot2,scale_discrete_manual,810,function,R/scale-manual.r,99,101
ggplot2,draw_key_label,811,function,R/legend-draw.r,213,218
ggplot2,StatSf,812,StatSf / Stat / ggproto / gg,NA,NA,NA
ggplot2,is.sec_axis,813,function,R/axis-secondary.R,101,103
ggplot2,theta_rescale,814,function,R/coord-polar.r,343,347
ggplot2,snakeize,815,function,R/utilities.r,330,335
ggplot2,scale_alpha_datetime,816,function,R/scale-alpha.r,50,52
ggplot2,revalue,817,function,R/compat-plyr.R,184,199
ggplot2,scale_alpha_discrete,818,function,R/scale-alpha.r,31,34
